Melananthus guatemalensis
Melananthus multiflorus
Melananthus ulei
Merinthopodium neuranthum
Merinthopodium pendulum
Merinthopodium vogelii
Meyenia tomentosa
Nectouxia formosa
Nicandra physalodes
Nicotiana acaulis
Nicotiana acuminata
Nicotiana acuminata
Nicotiana alata
Nicotiana ameghinoi
Nicotiana arentsii
Nicotiana attenuata
Nicotiana azambujae
Nicotiana benavidesii
Nicotiana bonariensis
Nicotiana clevelandii
Nicotiana cordifolia
Nicotiana excelsior
Nicotiana forgetiana
Nicotiana glauca
Nicotiana glutinosa
Nicotiana knightiana
Nicotiana langsdorfii
Nicotiana linearis
Nicotiana longibracteata
Nicotiana longiflora
Nicotiana miersii
Nicotiana miersii
Nicotiana mutabilis
Nicotiana noctiflora
Nicotiana obtusifolia
Nicotiana otophora
Nicotiana paa
Nicotiana palmeri
Nicotiana paniculata
Nicotiana paniculata
Nicotiana pauciflora
Nicotiana petunioides
Nicotiana plumbaginifolia
Nicotiana plumbaginifolia
Nicotiana raimondii
Nicotiana repanda
Nicotiana repanda
Nicotiana rosulata
Nicotiana rustica
Nicotiana rustica
Nicotiana	×	sanderae
Nicotiana setchellii
Nicotiana solanifolia
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tabacum
Nicotiana tabacum
Nicotiana tabacum
Nicotiana thyrsiflora
Nicotiana tomentosa
Nicotiana tomentosa
Nicotiana trigonophylla
Nicotiana trigonophylla
Nicotiana undulata
Nicotiana wigandioides
Nierembergia angustifolia
Nierembergia aristata
Nierembergia browallioides
Nierembergia calycina
Nierembergia ericoides
Nierembergia espinosae
Nierembergia hatschbachii
Nierembergia hippomanica
Nierembergia micrantha
Nierembergia pinifolia
Nierembergia pulchella
Nierembergia pulchella
Nierembergia repens
Nierembergia rigida
Nierembergia riograndensis
Nierembergia rivularis
Nierembergia scoparia
Nierembergia tandilensis
Nierembergia tucumanensis
Nierembergia veitchii
Nolana acuminata
Nolana adansonii
Nolana albescens
Nolana aplocaryoides
Nolana baccata
Nolana clivicola
Nolana coelestis
Nolana confinis
Nolana crassulifolia
Nolana deflexa
Nolana dianae
Nolana diffusa
Nolana divaricata
Nolana elegans
Nolana filifolia
Nolana foliosa
Nolana galapagensis
Nolana gayana
Nolana glauca
Nolana gracillima
Nolana humifusa
Nolana humifusa
Nolana incana
Nolana inconspicua
Nolana inflata
Nolana insularis
Nolana lachimbensis
Nolana laxa
Nolana leptophylla
Nolana linearifolia
Nolana mollis
Nolana onoana
Nolana paradoxa
Nolana parviflora
Nolana patula
Nolana peruviana
